content_filtered,3-gram
"['as', 'in', 'muas', 'minus', 'suka', 'login', 'out', 'masuk', 'cerita', 'draft', 'hilang', 'baik', 'cinta', 'kesel']","[('as', 'in', 'muas'), ('in', 'muas', 'minus'), ('muas', 'minus', 'suka'), ('minus', 'suka', 'login'), ('suka', 'login', 'out'), ('login', 'out', 'masuk'), ('out', 'masuk', 'cerita'), ('masuk', 'cerita', 'draft'), ('cerita', 'draft', 'hilang'), ('draft', 'hilang', 'baik'), ('hilang', 'baik', 'cinta'), ('baik', 'cinta', 'kesel')]"
['yukai'],[]
"['cerita', 'login', 'out']","[('cerita', 'login', 'out')]"
"['beuhh', 'cerita', 'cuy']","[('beuhh', 'cerita', 'cuy')]"
"['blm', 'nyoba']",[]
"['mantengin', 'slalu', 'celah', 'wadah', 'kreativ', 'it', 'as', 'anak', 'bangsa', 'pokok']","[('mantengin', 'slalu', 'celah'), ('slalu', 'celah', 'wadah'), ('celah', 'wadah', 'kreativ'), ('wadah', 'kreativ', 'it'), ('kreativ', 'it', 'as'), ('it', 'as', 'anak'), ('as', 'anak', 'bangsa'), ('anak', 'bangsa', 'pokok')]"
['iklan'],[]
[],[]
"['aneh', 'internet', 'nyambung', 'dowload', 'akun', 'as', 'in', 'baik']","[('aneh', 'internet', 'nyambung'), ('internet', 'nyambung', 'dowload'), ('nyambung', 'dowload', 'akun'), ('dowload', 'akun', 'as'), ('akun', 'as', 'in'), ('as', 'in', 'baik')]"
['iklan'],[]
"['suka', 'lama', 'langgan']","[('suka', 'lama', 'langgan')]"
"['bintang', 'jaring', 'wifi', 'jelek', 'sungguh', 'kecewa']","[('bintang', 'jaring', 'wifi'), ('jaring', 'wifi', 'jelek'), ('wifi', 'jelek', 'sungguh'), ('jelek', 'sungguh', 'kecewa')]"
"['beranda', 'daftar', 'baca', 'gabisa', 'kata', 'internet', 'sinyal', 'kenceng', 'baik']","[('beranda', 'daftar', 'baca'), ('daftar', 'baca', 'gabisa'), ('baca', 'gabisa', 'kata'), ('gabisa', 'kata', 'internet'), ('kata', 'internet', 'sinyal'), ('internet', 'sinyal', 'kenceng'), ('sinyal', 'kenceng', 'baik')]"
"['aneh', 'login', 'google', 'mlah', 'tungguin', 'ampe', 'sore', 'ampe', 'besok', 'gabisa', 'login', 'aneh']","[('aneh', 'login', 'google'), ('login', 'google', 'mlah'), ('google', 'mlah', 'tungguin'), ('mlah', 'tungguin', 'ampe'), ('tungguin', 'ampe', 'sore'), ('ampe', 'sore', 'ampe'), ('sore', 'ampe', 'besok'), ('ampe', 'besok', 'gabisa'), ('besok', 'gabisa', 'login'), ('gabisa', 'login', 'aneh')]"
"['bug', 'fak']",[]
