userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt
Athaya,"ini kenapa sering ke log out sendiri ya? ngebug parah ini aplikasi padahal bagus buat baca2. tolong dong di perbaiki. tiba2 suka ke log out sendiri, sy pdhl udah ganti email dan hp tetep aja ngebug kyk eror lah ke log out sendiri. tolong pihak wattpad diperbaiki.",2,11.15.1,2025-10-03 16:10:19,,
Yusma Fianty,"gatau kenapa akun aku tiba tiba ilang, terus ga bisa masuk lagi, udah bikin akun baru malah tambah eror padahal mau baca cerita selanjutnya ehh malah ga bisa masuk. tolong di perbaikin lagi dongg soalnya saya mau baca tapi gabisa masuk.",3,,2025-10-03 14:38:26,,
Athaya Yaya,"Aku suka baca disini nyaman dari tahun 2020 dulu bagus banget tapi makin kesini kok makin ngawur, banyak bug tulisan yang ilang sendiri waktu pencet cerita yang update malah keluar aplikasi dll. Aku pikir gara-gara HP ku yang kentang ternyata tidak. Untuk Dev tolong perbaiki jujur ini sangat tidak nyaman oh satu lagi ini ku kasih 4 bintang padahal udah kecewa karena dulu apa ini sangat sangat bagus.",4,11.15.1,2025-10-03 14:09:04,,
April Histeric,sumpah wattpad kaga jls banget najis tiba-tiba keluar dari akun terus ga bisa login lagi najis cuhhh,1,,2025-10-03 12:14:55,,
Fatmawati,Terima kasih sudah memberikan media yang bisa membuat saya menyalurkan bakat saya secara gratis 😊.,5,11.15.1,2025-10-03 10:30:29,,
UMRA Ajja,bagus sekalii,5,,2025-10-03 09:54:58,,
Umam Samsul mutamam,"ah! aplikasi sampah gak bisa login! begitu hina sekali aplikasi ini sampai tidak bisa login seperti sampah yang bau! DITAMBAH LAGI MALAH ADA TULISAN ""TIDAK TERHUBUNG KE INTERNET"" WIFI UDAH MANTAP POLL LU BILANG GK INTERNET?! BUTA MATA MU WATTPAD STRES!",1,11.15.1,2025-10-03 08:41:26,,
Kalista nur aqilah,bagus mines nya suka bug aja,5,11.15.1,2025-10-03 08:27:23,,
Violetta,semenjak ada Wattpad hari-hari ku bisa bikin cerita,5,,2025-10-03 07:22:48,,
Mas Diman,"Temukan platform menulis yang paling disukai di penjuru dunia. Wattpad. Tempat cerita menjadi hidup. Baca dan tulis cerita orisinal dalam bahasamu! Temukan platform bercerita sosial yang menghubungkan komunitas global melalui kekuatan bercerita. Unduh Wattpad hari ini untuk mulai membaca atau menulis. Bergabung dengan Wattpad untuk menjadi anggota komunitas pencinta cerita internasional. Terhubung dengan pembaca & penulis lain yang antusias, berkomentar langsung pada cerita yang kamu baca, da",5,,2025-10-03 05:48:09,,
Raesah Astillah,"bagus sih cuman kalo mau masuk kadang keluar sendiri 😔 itu gimana ya, padahal bagus aplikasi nya cuman yang kurang ya itu keluar sendiri 😔 tapi tetap aku suka aplikasi nya walau harus hapus donwload lagi biar bisa masuk",4,,2025-10-03 05:42:34,,
Ajeng Pangestu,hari ini WP kenapa ya kok tiba tiba ngak bisa Log in,5,11.15.1,2025-10-03 04:22:37,,
Delcha Febriana,"ko semakin kesini makin ngebug, ngeleg ya? smnjk diupdate update mau buka aja lama bgt loadingnya pdhl jaringan lancar buat buka apk lain.. dan satu lagi ini knp cerita offline nya cmn bisa 2 wktu itu bs 25 sumpah diperbaiki dong jadi gbsa leluasan bca cerita ini itu",3,11.15.1,2025-10-03 01:16:53,,
Nerazury Destia Yanti,kenapa sulit di buka ya apikasinya. padahal wifi lancar,5,,2025-10-03 01:11:28,,
Yanti Yunda,knp sekarang susah untuk buka bab,1,11.15.1,2025-10-03 00:18:18,,
Laila Seo,error ga bisa masuk,1,,2025-10-02 22:23:54,,
Nasya Althafunnisa,padahal ada sinyalnya dari sananya bilang gak ada sinyalnya,5,9.92.0,2025-10-02 22:18:49,,
Putri Solehati,ceritanya bagus seru². tapi kenapa makin kesini aneh ya. ada tulisan 9 notifikasi di Wattpad tapi pas di buka lonceng bell nya gaada 0 di reset tetep gaada aneh.,4,11.15.1,2025-10-02 18:14:13,,
Ftryn Amd,"Sering banget tiba-tiba kehapus, lagi seru baca, eh besoknya ceritanya kehapus. Ga paham lagi",1,11.15.1,2025-10-02 16:26:51,,
Kal Ipah,nambah hari nambah parah nih wattpadnya udh bug suka keluar sendiri sama kalau kita pencet notifikasi malah ke layar utama bukannya ke ceritanya,1,11.14.1,2025-10-02 15:48:18,,
Na lia,"kenapa cuman 2 offline nya? mau ambil premium, tapi cerita di wattpad sekarang harus ke aplikasi lain dan berbayar lagi, ini mah gak guna jdi premium di wattpad. ujung²nya ada sebagian cerita di jual penulisnya (dijadiin bahan jualan) njir makin lama nih apk makin gk enak untuk baca novel. mau baca secara online iklan banyak bangat, setiap pindah halaman selalu iklan🗿🗿",1,11.15.1,2025-10-02 14:59:54,,
Salwa Rajib,kenapa sering bug.. padahal jaringan bagus tolong di perbaiki,1,11.15.1,2025-10-02 14:56:12,,
Mueji Ejy,"bagus bgt, approve 🤩🤩🤩🤩🤩",5,11.15.1,2025-10-02 14:16:04,,
Na An,kenapa gk bisa daftar si wattpad nya ada masalah kah udh dua hari coba daftar wattpad tapi gk bisa bisa anjay gimana,5,11.15.1,2025-10-02 13:10:09,,
Siti nur Khflh,makin hari makin bug masak disuruh daftar berkali kali terus saat daftar gak bisa,1,,2025-10-02 12:42:01,,
afifahhusna Zaharani,"baguss sii, tapi kenapa sekarang ga bisa masuk ke aplikasi nyaa",3,11.15.1,2025-10-02 11:30:43,,
Herman Lanang,aplikasinya bagus untuk orng suka membaca dan menulis.aku sngt suka aplikasinya karena aku bisa berimajinasi dan aku sangat suka fiksi.,5,,2025-10-02 11:14:43,,
R.Cleo.A Rui (Rin),"aplikasi nya sudah bagus, ada fitur baca offline sama bagain untuk nulisnya juga sudah lengkap. untuk membaca dan menulis sudah bagus. tapi tolong untuk bagian memasang Poto profil dan juga kalo bagian mau masukan Poto/gambar ke cerita/bab, sediakan fitur crop(menyesuaikan ukuran) biar kami para penulis lebih mudah untuk mengembangkan cerita.",5,11.14.1,2025-10-02 09:59:24,,
lunargynaíka,"aplikasi ini selalu saja ada masalah dalam proses revisi cerita. mau menyimpan revisi yang baru saja kita kerjakan malah ada tulisan ""pengeditan bab ini berasal dari perangkat lain dan bertentangan dengan pengeditan yang kamu buat di perangkat ini. silahkan pilih revisi yang ingin kamu simpan"". itu adalah hal yang sangat mengesalkan, karena ya saya nulis di perangkat yang sama. mau dipulihkan berkali kali revisinya juga itu pengumuman muncul berkali kali dan bikin frustasi, udah rusak nih apk.",1,,2025-10-02 08:48:29,,
